time,loop,owner,process,pid,cpu_percent,private_mb,working_set_mb,threads,handles,priority,responding,action
2026-04-29T01:09:17.9081115+02:00,3,"NT AUTHORITY\SYSTEM","tailscaled",5876,0,79.43,56.91,27,680,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","explorer",6488,0,63.63,147.72,73,2662,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","rustdesk",9820,0,6.09,17.78,15,188,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","tailscale-ipn",9896,0,57.84,31.29,23,535,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","rustdesk",6724,0,69.68,92.3,34,432,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","mstsc",9292,0,199.47,194.08,27,1242,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","mstsc",6556,0,199.37,193.78,29,1264,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","mstsc",8740,0,198.97,192.97,28,1255,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Mati","mstsc",9392,0,199.79,194.91,29,1264,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","rdpclip",11024,0,2.35,10.5,10,311,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","sihost",11080,0,5.58,26.51,13,470,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","taskhostw",10888,0,6.79,19.96,19,495,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","explorer",11416,0,38.4,108.18,41,1712,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","rdpclip",11580,0,2.33,10.62,10,311,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","sihost",11664,0,5.52,26.47,14,473,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","taskhostw",11960,0,6.52,19.9,19,491,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","explorer",12144,0,39.09,108.46,41,1715,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","rdpclip",11268,0,2.33,10.61,10,311,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","sihost",12012,0,5.46,26.45,13,474,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","taskhostw",12444,0,6.82,19.97,19,491,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","explorer",12644,0,38.6,108.47,41,1714,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","rdpclip",12768,0,2.32,10.62,10,312,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","sihost",12912,0,5.43,26.37,14,472,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","taskhostw",13084,0,6.47,19.82,19,490,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","explorer",12324,0,38.72,108.31,42,1713,"AboveNormal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","dllhost",13424,0,2.61,11.1,7,195,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc4","dllhost",13500,0,2.05,9.84,5,172,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc3","dllhost",13880,0,2.12,9.89,5,173,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc2","dllhost",14116,0,2.19,9.93,6,173,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","startmenuexperiencehost",14064,0,25.84,80.07,8,643,"Normal","True",""
2026-04-29T01:09:17.9081115+02:00,3,"DINOZAUR15\Acc1","runtimebroker",14536,0,4.5,27.57,3,340,"Normal","True",""
